domain,name,email,phone,gap_score,gap_level,issues,mail_sent,sent_at,call_after,status
"ilmonte.se","","sales@ilmonte.se","023-04-26","37","MEDEL","5","nej","","","ny"
"egelectronics.com","","hello@egelectronics.com","026-01-20","77","HOG","0","0","0","0","10","nej","","2026-02-25","ny"
"norban.se","","home@norban.se","019-2026","65","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"ecolux.se","","info@ecolux.se","010-130 11 00","65","MEDEL","0","0","0","0","3","nej","","2026-02-25","ny"
"kinnarps.se","Kontakta Kinnarps","info@kinnarps.se","0515 - 38 000","70","HOG","0","0","0","0","6","nej","","2026-02-25","ny"
"yrkesbutiken.se","","","019-02-07","69","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"stromsholmssadelmakeri.se","","info@stromsholmssadelmakeri.se","01865002-91-42","64","MEDEL","0","0","0","0","2","nej","","2026-02-25","ny"
"cleanpart.se","","info@cleanpart.se?subject= &body=","024-05-08","65","MEDEL","0","0","0","0","3","nej","","2026-02-25","ny"
"inflexus.se","","order@inflexus.se","07888859508678","71","HOG","0","0","0","0","7","nej","","2026-02-25","ny"
"vertel.se","","info@vertel.se","026-2027","69","MEDEL","0","0","0","0","6","nej","","2026-02-25","ny"
"interlite.se","Simon Hansen","","0522-440 885","74","HOG","0","0","0","0","8","nej","","2026-02-25","ny"
"weibulls.com","","","03305011091","75","HOG","0","0","0","0","9","nej","","2026-02-25","ny"
"gelins-kgk.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"leklyckan.se","","","01334843374117","66","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"grillkung.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"fogasystem.com","","mailto:&#105;&#110;&#102;&#111;&#64;f&#111;g&#97;&#115;y&#115;te&#109;.com","022-10-26","73","HOG","0","0","0","0","7","nej","","2026-02-25","ny"
"verkstadsshoppen.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"golfamore.com","","","0152-0153","70","HOG","0","0","0","0","5","nej","","2026-02-25","ny"
"beslagonline.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"boldansweden.se","","info.boldansweden@trelleborg.com","","66","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"ljungbymaskin.se","","info@ljungbymaskin.se ","020-01-01","66","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"beslagdesign.se","","info@beslagdesign.se","025-11-27","62","MEDEL","0","0","0","0","1","nej","","2026-02-25","ny"
"anderbergsskor.se","","","057-0326","71","HOG","0","0","0","0","6","nej","","2026-02-25","ny"
"skinome.com","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"rp.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"blomsterlandet.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"intima.se","","info@intima.se","068055450","70","HOG","0","0","0","0","6","nej","","2026-02-25","ny"
"benders.se","","info@benders.se","010-888 00 00","76","HOG","0","0","0","0","9","nej","","2026-02-25","ny"
"ekstrands.com","","info@ekstrands.com","0479-100 40","65","MEDEL","0","0","0","0","3","nej","","2026-02-25","ny"
"chimihome.com","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"bad-varme.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"grafiska.se","","info@grafiska.se","","66","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"hfab.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"sobling.se","","info@sobling.se","018-05-30","69","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"nordiccom.se","","info@nordiccom.se","087396710570","70","HOG","0","0","0","0","7","nej","","2026-02-25","ny"
"hlr-konsulten.se","","info@hlr-konsulten.se","023-12-19","64","MEDEL","0","0","0","0","2","nej","","2026-02-25","ny"
"santacruzofscandinavia.se","","info@stcruz.se","073104373","67","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"axelent.se","","nordicsales@axelent.com","","68","MEDEL","0","0","0","0","6","nej","","2026-02-25","ny"
"mockfjards.se","","info@mockfjards.se","019-07-09","66","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"holebrook.com","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"kaki.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"thermod.se","","info@thermod.se","0570 - 72 74 70","68","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"erlan.se","","webshop@erlan.se","022-05-23","62","MEDEL","0","0","0","0","1","nej","","2026-02-25","ny"
"arlemark.se","","","036 39 57 30","66","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"bemt.nu","","info@bemt.nu","040-59 95 95","67","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"vallsjohus.se","","info@vallsjohus.se","022-08-29","69","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"varningstalt.se","","info@swedenrescue.se","0495049505","71","HOG","0","0","0","0","6","nej","","2026-02-25","ny"
"karles.se","","kaminer@karles.se","015-10-22","70","HOG","0","0","0","0","6","nej","","2026-02-25","ny"
"lookbylinnstore.se","","info@lookbylinn.se","Tel: 035-21 21 60","69","MEDEL","0","0","0","0","6","nej","","2026-02-25","ny"
"rowaco.se","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"cykellangd.se","","info@cykellangd.se","019-11-07","64","MEDEL","0","0","0","0","2","nej","","2026-02-25","ny"
"glacialbottle.com","","","024-10-04","72","HOG","0","0","0","0","7","nej","","2026-02-25","ny"
"theskinagent.com","","hello@theskinagent.com","021-11-17","73","HOG","0","0","0","0","8","nej","","2026-02-25","ny"
"askarifighter.com","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"arkaden.se","","bredband@arkaden.se","020 - 2024","68","MEDEL","0","0","0","0","5","nej","","2026-02-25","ny"
"bilborsen.com","Linköping Öst","","022-11-02","68","MEDEL","0","0","0","0","4","nej","","2026-02-25","ny"
"vildmarkshornan.com","","","","0","","0","0","0","0","0","nej","","2026-02-25","ny"
"byggkonstruktoren.se","","info@byggkonstruktoren.se","026-18 88 10","74","HOG","0","0","0","0","7","nej","","2026-02-25","ny"
